Gender,AgeGroup,FoodCategory,Average amount consumed (g)
Male,20-29,Legumes,2.0983471074380167
Male,30-39,Legumes,2.8360294117647054
Male,40-49,Legumes,1.7402234636871508
Male,50-59,Legumes,3.044791666666667
Male,60-69,Legumes,3.125490196078431
Male,70-79,Legumes,1.8461538461538463
Male,80-89,Legumes,0.0
Male,90-99,Legumes,0.0
Female,0-9,Poultry,0.0
Female,10-19,Poultry,18.442857142857143
Female,20-29,Poultry,58.003875968992226
Female,30-39,Poultry,54.193491124260326
Female,40-49,Poultry,49.23984375
Female,50-59,Poultry,54.44870466321245
Female,60-69,Poultry,31.036000000000005
Female,70-79,Poultry,2.685714285714286
Female,80-89,Poultry,0.0
Female,90-99,Poultry,0.0
Male,0-9,Poultry,0.0
Male,10-19,Poultry,24.98823529411765
Male,20-29,Poultry,95.64049586776862
Male,30-39,Poultry,66.37499999999999
Male,40-49,Poultry,66.88715083798883
Male,50-59,Poultry,59.28124999999999
Male,60-69,Poultry,49.87254901960783
Male,70-79,Poultry,54.93846153846154
Male,80-89,Poultry,0.0
Male,90-99,Poultry,0.0
Female,0-9,Red meat,0.0
Female,10-19,Red meat,377.8642857142857
Female,20-29,Red meat,275.04186046511643
Female,30-39,Red meat,280.2136094674555
Female,40-49,Red meat,281.54414062499984
Female,50-59,Red meat,267.5512953367875
Female,60-69,Red meat,257.25733333333335
Female,70-79,Red meat,249.6857142857143
Female,80-89,Red meat,0.0
Female,90-99,Red meat,0.0
Male,0-9,Red meat,0.0
Male,10-19,Red meat,611.2294117647059
Male,20-29,Red meat,513.0942148760331
Male,30-39,Red meat,442.3786764705883
Male,40-49,Red meat,458.4731843575417
Male,50-59,Red meat,442.38567708333335
Male,60-69,Red meat,381.603431372549
Male,70-79,Red meat,427.95384615384614
Male,80-89,Red meat,0.0
Male,90-99,Red meat,0.0
Female,0-9,Starchy vegetables,0.0
Female,10-19,Starchy vegetables,48.75714285714286
Female,20-29,Starchy vegetables,83.97209302325584
Female,30-39,Starchy vegetables,94.51360946745564
Female,40-49,Starchy vegetables,96.93671875
Female,50-59,Starchy vegetables,104.86632124352332
Female,60-69,Starchy vegetables,122.15066666666665
Female,70-79,Starchy vegetables,138.7
Female,80-89,Starchy vegetables,0.0
Female,90-99,Starchy vegetables,0.0
Male,0-9,Starchy vegetables,0.0
Male,10-19,Starchy vegetables,136.16470588235296
Male,20-29,Starchy vegetables,110.71900826446281
Male,30-39,Starchy vegetables,127.15882352941175
Male,40-49,Starchy vegetables,147.94413407821222
Male,50-59,Starchy vegetables,188.78333333333327
Male,60-69,Starchy vegetables,220.1553921568628
Male,70-79,Starchy vegetables,233.5230769230769
Male,80-89,Starchy vegetables,0.0
Male,90-99,Starchy vegetables,0.0
Female,0-9,Sweets and snacks,0.0
Female,10-19,Sweets and snacks,57.271428571428565
Female,20-29,Sweets and snacks,92.72245948491216
Female,30-39,Sweets and snacks,77.31333422639032
Female,40-49,Sweets and snacks,58.4205703451824
Female,50-59,Sweets and snacks,59.3982543885274
Female,60-69,Sweets and snacks,38.771911037393046
Female,70-79,Sweets and snacks,39.4030721753494
Female,80-89,Sweets and snacks,0.0
Female,90-99,Sweets and snacks,0.0
Male,0-9,Sweets and snacks,0.0
Male,10-19,Sweets and snacks,84.25626209679791
Male,20-29,Sweets and snacks,75.34039218906472
Male,30-39,Sweets and snacks,84.17718846673388
Male,40-49,Sweets and snacks,70.4832039589908
Male,50-59,Sweets and snacks,53.86351885190975
Male,60-69,Sweets and snacks,45.032373761656736
Male,70-79,Sweets and snacks,53.86923076923077
Male,80-89,Sweets and snacks,0.0
Male,90-99,Sweets and snacks,0.0
Female,0-9,Vegetables,0.0
Female,10-19,Vegetables,260.0971531469731
Female,20-29,Vegetables,430.0611418962205
Female,30-39,Vegetables,458.99150800733105
Female,40-49,Vegetables,488.84483725977555
Female,50-59,Vegetables,457.1631364136617
Female,60-69,Vegetables,473.4879027109304
Female,70-79,Vegetables,411.5619595007167
Female,80-89,Vegetables,0.0
Female,90-99,Vegetables,0.0
Male,0-9,Vegetables,0.0
Male,10-19,Vegetables,387.0764705882353
Male,20-29,Vegetables,548.9615818249154
Male,30-39,Vegetables,452.28494491620324
Male,40-49,Vegetables,448.2924154640582
Male,50-59,Vegetables,467.23339548376424
Male,60-69,Vegetables,413.08431148486295
Male,70-79,Vegetables,457.1923076923077
Male,80-89,Vegetables,0.0
Male,90-99,Vegetables,0.0
