Gender,AgeGroup,FoodCategory,TotalDryMatter,TotalFat,TotalProtein,TotalCarbohydrates,TotalCalories,PercentageDryMatter,PercentageFat,PercentageProtein,PercentageCarbohydrates,PercentageCalories
Female,0-9,Dairy and alternatives,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Eggs,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Fish,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Fruits and nuts,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Grains and cereals,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Legumes,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Poultry,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Red meat,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Starchy vegetables,0.0,0.0,0.0,0.0,0.0,,,,,
Female,0-9,Vegetables,0.0,0.0,0.0,0.0,0.0,,,,,
Female,10-19,Dairy and alternatives,225.92734664242187,85.78194126118882,54.016070458002694,81.24153039156852,1324.7359290062266,21.94596646355937,30.70918639304841,23.69933527211724,17.310129415815126,24.48175441649014
Female,10-19,Eggs,1.471583850931677,0.45491925465838506,0.45037732919254675,0.5370372670807454,8.084627329192546,0.14294564301671886,0.16285712330238064,0.19760125520040558,0.1144265075938077,0.1494077849693516
Female,10-19,Fish,31.24112500000001,6.614231632653063,17.087853061224497,6.736959183673471,156.17733673469388,3.0346777037974104,2.3678372052165058,7.4972273129993345,1.4354436059534756,2.886231980005646
Female,10-19,Fruits and nuts,214.65360861056755,74.54508297455969,22.902760861056755,102.40701448140899,1201.9589432485323,20.850866288910687,26.686489185186428,10.048494896075756,21.819858208190734,22.2127769187849
Female,10-19,Grains and cereals,338.8758325262308,28.346118482647295,48.75607901533495,235.92605318805488,1446.0988841807907,32.91747442907826,10.147663053609318,21.391535025426357,50.26875409121482,26.72459995180529
Female,10-19,Legumes,0.187,0.01581666666666667,0.0476,0.09241666666666665,0.7660833333333334,0.018164670145845118,0.005662228642092298,0.02088430997271202,0.019691215225363032,0.014157586896055775
Female,10-19,Poultry,5.7333229813664595,1.5351673913043478,3.465653416149069,0.6775745341614907,30.494863354037264,0.5569193625460698,0.5495765294067181,1.520541600858098,0.144370777097194,0.5635596795189332
Female,10-19,Red meat,118.95167714285714,37.19696028571428,68.92546862857142,11.438707657142857,659.2673765714286,11.554641596765048,13.316187181994168,30.240774198603432,2.4372449526796194,12.183576858320102
Female,10-19,Starchy vegetables,18.917771428571427,3.6823832142857147,1.7296596428571427,11.928435,90.57858214285716,1.8376207374037068,1.3182610562964259,0.7588812632083808,2.5415911367367356,1.6739355782996097
Female,10-19,Vegetables,73.51166907364448,41.16379681647094,10.540779364377329,18.343693958786524,492.9525518327633,7.140723104776876,14.736280043297542,4.624724865538287,3.9084900894931343,9.109999244909975
Female,20-29,Dairy and alternatives,304.4973153167292,115.6140290446132,72.8010516781449,109.49461525615115,1785.4347421007055,24.255482165446036,32.16878532816225,28.719143687537173,18.974475871780093,26.68634402974559
Female,20-29,Eggs,6.43959555106168,1.9907095382541289,1.970834243343445,2.3500548702392994,35.37802494101786,0.5129618134038135,0.5539008398549174,0.7774705243151137,0.40724431359842483,0.5287844592729849
Female,20-29,Fish,22.754440568475456,4.817468660022148,12.445919822812847,4.906857142857143,113.7515991140642,1.8125608983424608,1.34042655921628,4.909766431605449,0.8503161753261126,1.7002101708405093
Female,20-29,Fruits and nuts,285.2994067523052,99.07901426212605,30.440411083439507,136.11073518836875,1597.542084985716,22.72622556653681,27.56803449081738,12.008377896489133,23.586820727943213,23.87797026497048
Female,20-29,Grains and cereals,377.41899296957877,31.57015775531586,54.30151246235168,262.75988094438844,1610.5757100860794,30.064237654614455,8.784172958932885,21.42129684817497,45.53402931630487,24.072779851219366
Female,20-29,Legumes,0.22063100775193795,0.01866121447028424,0.05616062015503876,0.10903733850129196,0.9038595607235141,0.01757490527660328,0.005192350852384198,0.022154692585271366,0.018895233739813114,0.013509710897449269
Female,20-29,Poultry,18.031639703404107,4.828192197505896,10.89968486686889,2.131011964947758,95.90814796090322,1.4363545858679625,1.3434103076257404,4.299795245052134,0.3692860604768817,1.4335095937077067
Female,20-29,Red meat,86.58317767441866,27.075120744186062,50.169835683720954,8.326067200000004,479.87103479069793,6.896995856022663,7.533460724024263,19.79139980217422,1.4428358949308664,7.172484786124024
Female,20-29,Starchy vegetables,32.58117209302326,6.341992325581398,2.978910000000001,20.54377255813954,155.99915581395354,2.5953333539562933,1.7646144794050498,1.175144346821631,3.5600592395145956,2.3316714087813124
Female,20-29,Vegetables,121.54885957803704,68.06283440431235,17.42879364526788,30.330627902154497,815.0790378780474,9.682273200532896,18.938001961108846,6.875450525244908,5.256037166385129,12.182735724440576
Female,30-39,Dairy and alternatives,284.7227536972285,108.10586189035308,68.07323041352555,102.38385300153458,1669.4856432111364,21.13318461602183,28.165065707640522,25.69133004398914,16.356240768867796,23.29784054820135
Female,30-39,Eggs,6.597738615899151,2.0395972215075893,2.0192338307177775,2.407767326987394,36.2468356058657,0.4897087654832214,0.5313808960622928,0.7620734680258607,0.3846507135752038,0.5058282470150763
Female,30-39,Fish,29.03734023668639,6.14765615263857,15.882456321700282,6.261726361550537,145.160408404782,2.155259683364413,1.6016628188271902,5.9941540131312685,1.0003364885745412,2.0257281412863835
